wavelength,B1,B2,B3N,B3B,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14
480,0.0000,,,,,,,,,,,,,,
484,0.0069,,,,,,,,,,,,,,
488,0.0078,,,,,,,,,,,,,,
492,0.0073,,,,,,,,,,,,,,
496,0.0107,,,,,,,,,,,,,,
500,0.0580,,,,,,,,,,,,,,
504,0.1250,,,,,,,,,,,,,,
508,0.2911,,,,,,,,,,,,,,
512,0.4567,,,,,,,,,,,,,,
516,0.6717,,,,,,,,,,,,,,
520,0.8392,,,,,,,,,,,,,,
524,0.9381,,,,,,,,,,,,,,
528,0.9906,,,,,,,,,,,,,,
532,1.0000,,,,,,,,,,,,,,
536,0.9662,,,,,,,,,,,,,,
540,0.8900,,,,,,,,,,,,,,
544,0.8760,,,,,,,,,,,,,,
548,0.8959,,,,,,,,,,,,,,
552,0.9029,,,,,,,,,,,,,,
556,0.9263,,,,,,,,,,,,,,
560,0.9184,,,,,,,,,,,,,,
564,0.9387,,,,,,,,,,,,,,
568,0.9501,,,,,,,,,,,,,,
572,0.9540,,,,,,,,,,,,,,
576,0.9606,,,,,,,,,,,,,,
580,0.9528,,,,,,,,,,,,,,
584,0.9058,,,,,,,,,,,,,,
588,0.8687,,,,,,,,,,,,,,
590,,0.0038,,,,,,,,,,,,,
592,0.7740,,,,,,,,,,,,,,
593,,0.0032,,,,,,,,,,,,,
596,0.6795,0.0000,,,,,,,,,,,,,
599,,0.0019,,,,,,,,,,,,,
600,0.5206,,,,,,,,,,,,,,
602,,0.0031,,,,,,,,,,,,,
604,0.2972,,,,,,,,,,,,,,
605,,0.0006,,,,,,,,,,,,,
608,0.1510,0.0050,,,,,,,,,,,,,
611,,0.0049,,,,,,,,,,,,,
612,0.0918,,,,,,,,,,,,,,
614,,0.0018,,,,,,,,,,,,,
616,0.0520,,,,,,,,,,,,,,
617,,0.0136,,,,,,,,,,,,,
620,0.0355,0.0000,,,,,,,,,,,,,
623,,0.1529,,,,,,,,,,,,,
624,0.0098,,,,,,,,,,,,,,
626,,0.3429,,,,,,,,,,,,,
628,0.0046,,,,,,,,,,,,,,
629,,0.5998,,,,,,,,,,,,,
632,0.0037,0.8024,,,,,,,,,,,,,
635,,0.9709,,,,,,,,,,,,,
636,0.0056,,,,,,,,,,,,,,
638,,1.0000,,,,,,,,,,,,,
640,0.0037,,,,,,,,,,,,,,
641,,0.9758,,,,,,,,,,,,,
644,0.0014,0.9696,,,,,,,,,,,,,
647,,0.9750,,,,,,,,,,,,,
650,0.0000,0.9430,,,,,,,,,,,,,
653,,0.9077,,,,,,,,,,,,,
656,,0.9396,,,,,,,,,,,,,
659,,0.9426,,,,,,,,,,,,,
660,0.0000,,,,,,,,,,,,,,
662,,0.9226,,,,,,,,,,,,,
665,,0.9100,,,,,,,,,,,,,
668,,0.8935,,,,,,,,,,,,,
670,0.0000,,,,,,,,,,,,,,
671,,0.8427,,,,,,,,,,,,,
674,,0.8031,,,,,,,,,,,,,
677,,0.7917,,,,,,,,,,,,,
680,0.0000,0.7702,,,,,,,,,,,,,
683,,0.7487,,,,,,,,,,,,,
686,,0.6619,,,,,,,,,,,,,
689,,0.5544,,,,,,,,,,,,,
690,0.0000,,,,,,,,,,,,,,
692,,0.4596,,,,,,,,,,,,,
695,,0.4258,,,,,,,,,,,,,
698,,0.3708,,,,,,,,,,,,,
700,0.0000,,,,,,,,,,,,,,
701,,0.2991,,,,,,,,,,,,,
704,,0.2166,,,,,,,,,,,,,
707,,0.1247,,,,,,,,,,,,,
710,0.0000,0.0623,,,,,,,,,,,,,
713,,0.0442,,,,,,,,,,,,,
716,,0.0280,,,,,,,,,,,,,
719,,0.0118,,,,,,,,,,,,,
720,0.0000,,0.0022,0.0099,,,,,,,,,,,
722,,0.0105,,,,,,,,,,,,,
724,,,0.0000,0.0088,,,,,,,,,,,
725,,0.0054,,,,,,,,,,,,,
728,,0.0041,0.0093,0.0206,,,,,,,,,,,
730,0.0000,,,,,,,,,,,,,,
731,,0.0007,,,,,,,,,,,,,
732,,,0.0258,0.0384,,,,,,,,,,,
736,,,0.0480,0.0657,,,,,,,,,,,
740,0.0000,0.0000,0.0509,0.1218,,,,,,,,,,,
744,,,0.0980,0.2529,,,,,,,,,,,
748,,,0.1907,0.4064,,,,,,,,,,,
750,,0.0000,,,,,,,,,,,,,
752,,,0.3353,0.6455,,,,,,,,,,,
756,,,0.6379,0.8368,,,,,,,,,,,
760,,0.0000,1.0000,0.8973,,,,,,,,,,,
764,,,0.9786,0.9461,,,,,,,,,,,
768,,,0.8982,1.0000,,,,,,,,,,,
770,,0.0000,,,,,,,,,,,,,
772,,,0.9148,0.9991,,,,,,,,,,,
776,,,0.9778,0.9722,,,,,,,,,,,
780,,,0.9942,0.9279,,,,,,,,,,,
784,,,0.9783,0.8981,,,,,,,,,,,
788,,,0.9624,0.9055,,,,,,,,,,,
792,,,0.9355,0.9010,,,,,,,,,,,
796,,,0.9713,0.9171,,,,,,,,,,,
800,,,0.9820,0.9138,,,,,,,,,,,
804,,,0.9976,0.8957,,,,,,,,,,,
808,,,0.9895,0.9202,,,,,,,,,,,
812,,,0.9751,0.9034,,,,,,,,,,,
816,,,0.9874,0.9031,,,,,,,,,,,
820,,,0.9694,0.8883,,,,,,,,,,,
824,,,0.9542,0.8866,,,,,,,,,,,
828,,,0.9489,0.8935,,,,,,,,,,,
832,,,0.9247,0.9026,,,,,,,,,,,
836,,,0.9609,0.9204,,,,,,,,,,,
840,,,0.9489,0.8863,,,,,,,,,,,
844,,,0.9420,0.8813,,,,,,,,,,,
848,,,0.9297,0.8554,,,,,,,,,,,
852,,,0.8366,0.7877,,,,,,,,,,,
