wavelength,B1,B2,B3,B4,B5,B6,B7,B8
410,0.0,,,,,,,
411,0.0,,,,,,,
412,0.0,,,,,,,
413,0.0,,,,,,,
414,0.0,,,,,,,
415,0.0,,,,,,,
416,0.0,,,,,,,
417,0.0,,,,,,,
418,0.0,,,,,,,
419,0.0,,,,,,,
420,0.0,,,,,,,
421,0.0,,,,,,,
422,0.0,,,,,,,
423,0.0,,,,,,,
424,0.0,,,,,,,
425,0.0,,,,,,,
426,0.0,,,,,,,
427,0.0,,,,,,,
428,0.0,,,,,,,
429,0.0,,,,,,,
430,0.0,,,,,,,
431,0.0,,,,,,,
432,0.0,,,,,,,
433,0.0,,,,,,,
434,0.0,,,,,,,
435,0.016,,,,,,,
436,0.027,,,,,,,
437,0.048,,,,,,,
438,0.094,,,,,,,
439,0.167,,,,,,,
440,0.287,,,,,,,
441,0.459,,,,,,,
442,0.605,,,,,,,
443,0.728,,,,,,,
444,0.769,,,,,,,
445,0.792,,,,,,,
446,0.821,,,,,,,
447,0.857,,,,,,,
448,0.857,,,,,,,
449,0.862,,,,,,,
450,0.839,,,,,,,
451,0.845,,,,,,,
452,0.81,,,,,,,
453,0.802,,,,,,,
454,0.804,,,,,,,
455,0.779,,,,,,,
456,0.798,,,,,,,
457,0.816,,,,,,,
458,0.876,,,,,,,
459,0.888,,,,,,,
460,0.901,,,,,,,
461,0.918,,,,,,,
462,0.896,,,,,,,
463,0.903,,,,,,,
464,0.888,,,,,,,
465,0.89,,,,,,,
466,0.863,,,,,,,
467,0.86,,,,,,,
468,0.842,,,,,,,
469,0.866,,,,,,,
470,0.875,,,,,,,
471,0.881,,,,,,,
472,0.888,,,,,,,
473,0.898,,,,,,,
474,0.879,,,,,,,
475,0.884,,,,,,,
476,0.907,,,,,,,
477,0.928,,,,,,,
478,0.932,,,,,,,
479,0.955,,,,,,,
480,0.958,,,,,,,
481,0.948,,,,,,,
482,0.952,,,,,,,
483,0.956,,,,,,,
484,0.98,,,,,,,
485,0.98,,,,,,,
486,0.975,,,,,,,
487,0.973,,,,,,,
488,0.977,,,,,,,
489,0.958,,,,,,,
490,0.965,,,,,,,
491,0.957,,,,,,,
492,0.952,,,,,,,
493,0.973,,,,,,,
494,0.974,,,,,,,
495,0.995,,,,,,,
496,0.986,,,,,,,
497,0.986,,,,,,,
498,0.994,,,,,,,
499,1.0,,,,,,,
500,0.99,0.0006,,,,,,0.0
501,0.99,0.0009,,,,,,
502,0.976,0.001,,,,,,0.001
503,0.983,0.002,,,,,,
504,0.976,0.002,,,,,,0.008
505,0.983,0.003,,,,,,
506,0.96,0.005,,,,,,0.027
507,0.973,0.009,,,,,,
508,0.964,0.0145,,,,,,0.066
509,0.975,0.0236,,,,,,
510,0.96,0.026,,,,,,0.15
511,0.932,0.041,,,,,,
512,0.853,0.06,,,,,,0.289
513,0.684,0.088,,,,,,
514,0.486,0.126,,,,,,0.447
515,0.293,0.174,,,,,,
516,0.15,0.236,,,,,,0.556
517,0.073,0.308,,,,,,
518,0.036,0.388,,,,,,0.594
519,0.019,0.472,,,,,,
520,0.009,0.552,,,,,,0.599
521,0.0,0.621,,,,,,
522,0.0,0.676,,,,,,0.6
523,0.0,0.716,,,,,,
524,,0.743,,,,,,0.607
525,,0.759,,,,,,
