wavelength,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36
350,0.000527,0.000614,0.000632,0.000626,,,,0.000133,1.41e-05,0.000212,1.53e-05,0.000139,3.8e-05,0.000103,1e-15,3.2e-05,0.00129,6.82e-05,0.00185,,,,,,,,,,,,,,,,,
360,9e-09,0.000153,0.000158,0.000644,,,,1e-15,0.000231,1.22e-05,6.86e-05,5.2e-05,1.71e-05,4.14e-05,2.65e-05,1.79e-05,0.000137,0.000561,0.001,,,,,,,,,,,,,,,,,
370,0.000813,0.000276,0.000569,9.06e-05,,,,0.000192,2.44e-05,9.46e-05,1e-15,4.7e-05,3.08e-05,9.17e-06,1e-15,4.17e-05,0.000638,0.000158,0.000292,,,,,,,,,,,,,,,,,
380,7.35e-05,0.0002,0.000382,3.28e-05,,,,6.49e-05,9.41e-05,6.84e-06,3.84e-05,2.91e-05,3.18e-05,4.64e-05,7.44e-06,2.01e-05,1e-15,2.85e-05,0.000844,,,,,,,,,,,,,,,,,
390,0.000463,0.00022,0.000268,0.000206,,,,0.000376,7.83e-05,2.39e-05,4.48e-06,5.1e-05,2.45e-05,2.32e-06,1.39e-05,1.41e-05,0.000431,9.99e-05,0.000443,,,,,,,,,,,,,,,,,
400,0.000475,8.51e-05,0.00142,4.88e-05,,,,0.13,2.05e-05,0.000102,1.27e-05,0.000256,1e-15,6.59e-06,4.93e-06,3.32e-06,0.000115,4.25e-05,6.99e-05,,,,,,,,,,,,,,,,,
400.49,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401.71,,,,,,,,0.02035,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403.01,,,,,,,,0.12667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404.31,,,,,,,,0.38426,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405.62,,,,,,,,0.60505,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406.93,,,,,,,,0.63716,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408.22,,,,,,,,0.63755,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409.5,,,,,,,,0.73086,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,0.000154,9.99e-06,0.000123,1e-15,,,,,6.79e-05,0.00197,3.36e-05,9.86e-05,2.23e-06,1.28e-05,1.39e-05,4.68e-06,0.000161,3.99e-05,4.92e-05,,,,,,,,,,,,,,,,,
410.83,,,,,,,,0.78699,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412.12,,,,,,,,0.60352,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413.4,,,,,,,,0.42407,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414.71,,,,,,,,0.75498,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416.02,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417.31,,,,,,,,0.95618,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418.61,,,,,,,,0.697,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419.91,,,,,,,,0.35839,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,7.59e-05,3.68e-05,0.000486,3.38e-05,,,,,0.000307,0.00465,1.16e-05,8.53e-05,7.4e-06,1.71e-06,5.76e-06,3.46e-06,6.95e-05,2.95e-05,0.000254,,,,,,,,,,,,,,,,,
421.23,,,,,,,,0.11789,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422.53,,,,,,,,0.03176,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423.8,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,0.000103,3.44e-05,0.000555,8.55e-05,,,,0.000517,0.0149,0.000955,1.8e-05,9.84e-05,1.92e-06,3.32e-06,6.96e-06,5.37e-06,5.4e-05,2.86e-05,0.000226,,,,,,,,,,,,,,,,,
433.07,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
433.97,,,,,,,,,0.03194,,,,,,,,,,,,,,,,,,,,,,,,,,,
434.98,,,,,,,,,0.10086,,,,,,,,,,,,,,,,,,,,,,,,,,,
435.97,,,,,,,,,0.24142,,,,,,,,,,,,,,,,,,,,,,,,,,,
436.97,,,,,,,,,0.43776,,,,,,,,,,,,,,,,,,,,,,,,,,,
437.97,,,,,,,,,0.58969,,,,,,,,,,,,,,,,,,,,,,,,,,,
438.99,,,,,,,,,0.73302,,,,,,,,,,,,,,,,,,,,,,,,,,,
439.97,,,,,,,,,0.91342,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,9.36e-05,2.73e-05,0.000965,1.04e-05,,,,6.49e-05,,0.000691,4.39e-05,3.56e-05,5.07e-07,1.06e-06,1.97e-06,3.2e-06,5.51e-05,2.73e-05,4.48e-05,,,,,,,,,,,,,,,,,
440.98,,,,,,,,,0.98811,,,,,,,,,,,,,,,,,,,,,,,,,,,
441.97,,,,,,,,,0.99815,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.98,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.99,,,,,,,,,0.98666,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.98,,,,,,,,,0.9312,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.97,,,,,,,,,0.78388,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.97,,,,,,,,,0.54285,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.98,,,,,,,,,0.26894,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.97,,,,,,,,,0.10134,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.98,,,,,,,,,0.03875,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,9.93e-06,1.93e-05,0.0297,1.33e-05,,,,7.51e-05,,0.000973,8.22e-05,4.33e-05,1.29e-06,8.96e-07,1.34e-06,6.33e-06,8.31e-05,1.93e-05,7.6e-05,,,,,,,,,,,,,,,,,
450.98,,,,,,,,,0.01225,,,,,,,,,,,,,,,,,,,,,,,,,,,
451.22,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
451.32,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452.09,,,0.01699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453.07,,,0.03968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454.08,,,0.09588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455.09,,,0.2065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456.08,,,0.37359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457.09,,,0.58498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458.07,,,0.77756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459.07,,,0.92479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,6.06e-05,3.36e-06,,0.000116,,,,0.000117,3.74e-05,0.00154,7.55e-05,8.18e-05,7.5e-07,1.17e-06,2.92e-07,1.18e-06,9.06e-06,1.68e-05,3.31e-05,,,,,,,,,,,,,,,,,
460.07,,,0.99116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461.07,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462.08,,,0.96053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463.09,,,0.90533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464.09,,,0.86429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465.09,,,0.85294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466.07,,,0.85776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467.08,,,0.86707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468.09,,,0.88282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469.07,,,0.90711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,7.36e-05,2.86e-05,,0.00144,,,,0.000198,2.12e-05,0.0027,0.000132,0.000222,4.47e-06,9.96e-07,1e-15,3.35e-07,1.16e-05,3.14e-05,8.45e-05,,,,,,,,,,,,,,,,,
470.07,,,0.92239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471.08,,,0.91883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472.09,,,0.88678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473.08,,,0.82269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474.07,,,0.71728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475.07,,,0.5809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476.07,,,0.41907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477.09,,,0.2636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478.05,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
478.08,,,0.1412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478.56,,,,,,,,,,0.01764,,,,,,,,,,,,,,,,,,,,,,,,,,
479.08,,,0.06455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479.17,,,,,,,,,,0.03843,,,,,,,,,,,,,,,,,,,,,,,,,,
479.79,,,,,,,,,,0.07852,,,,,,,,,,,,,,,,,,,,,,,,,,
480,5.14e-05,4.99e-06,,0.000834,,,,0.000317,1.85e-05,,0.000256,0.000151,4.73e-06,5.8e-07,6.5e-07,3.22e-06,6.72e-06,7.49e-06,0.000111,,,,,,,,,,,,,,,,,
480.08,,,0.0271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480.37,,,,,,,,,,0.14034,,,,,,,,,,,,,,,,,,,,,,,,,,
480.98,,,,,,,,,,0.2341,,,,,,,,,,,,,,,,,,,,,,,,,,
481.08,,,0.01174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481.37,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481.57,,,,,,,,,,0.35395,,,,,,,,,,,,,,,,,,,,,,,,,,
482.19,,,,,,,,,,0.50479,,,,,,,,,,,,,,,,,,,,,,,,,,
482.77,,,,,,,,,,0.66038,,,,,,,,,,,,,,,,,,,,,,,,,,
483.39,,,,,,,,,,0.80562,,,,,,,,,,,,,,,,,,,,,,,,,,
483.98,,,,,,,,,,0.90063,,,,,,,,,,,,,,,,,,,,,,,,,,
484.56,,,,,,,,,,0.94848,,,,,,,,,,,,,,,,,,,,,,,,,,
485.18,,,,,,,,,,0.97083,,,,,,,,,,,,,,,,,,,,,,,,,,
485.79,,,,,,,,,,0.98244,,,,,,,,,,,,,,,,,,,,,,,,,,
486.37,,,,,,,,,,0.98892,,,,,,,,,,,,,,,,,,,,,,,,,,
486.98,,,,,,,,,,0.99236,,,,,,,,,,,,,,,,,,,,,,,,,,
487.59,,,,,,,,,,0.99422,,,,,,,,,,,,,,,,,,,,,,,,,,
488.16,,,,,,,,,,0.99368,,,,,,,,,,,,,,,,,,,,,,,,,,
488.77,,,,,,,,,,0.99857,,,,,,,,,,,,,,,,,,,,,,,,,,
489.37,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
489.99,,,,,,,,,,0.98781,,,,,,,,,,,,,,,,,,,,,,,,,,
490,3.92e-05,2.18e-06,0.000202,0.00181,,,,0.000784,3.5e-05,,0.000333,0.000287,2.92e-06,7.59e-07,1e-15,9.61e-14,1.47e-05,1.52e-05,6.97e-05,,,,,,,,,,,,,,,,,
490.58,,,,,,,,,,0.95353,,,,,,,,,,,,,,,,,,,,,,,,,,
491.18,,,,,,,,,,0.88984,,,,,,,,,,,,,,,,,,,,,,,,,,
491.77,,,,,,,,,,0.78861,,,,,,,,,,,,,,,,,,,,,,,,,,
492.38,,,,,,,,,,0.64307,,,,,,,,,,,,,,,,,,,,,,,,,,
492.97,,,,,,,,,,0.4754,,,,,,,,,,,,,,,,,,,,,,,,,,
493.57,,,,,,,,,,0.29575,,,,,,,,,,,,,,,,,,,,,,,,,,
494.18,,,,,,,,,,0.14612,,,,,,,,,,,,,,,,,,,,,,,,,,
494.79,,,,,,,,,,0.0587,,,,,,,,,,,,,,,,,,,,,,,,,,
495.37,,,,,,,,,,0.02294,,,,,,,,,,,,,,,,,,,,,,,,,,
495.93,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2.5e-05,1.17e-05,8.01e-06,0.000121,,,,0.00179,7.37e-05,0.00267,0.000463,0.0004,2.17e-07,1.81e-06,6.75e-07,9.12e-07,5.24e-06,9.72e-06,1.44e-05,,,,,,,,,,,,,,,,,
510,1.37e-05,5.33e-06,6.41e-05,0.000145,,,,0.00253,0.000108,9.07e-05,0.000758,0.000558,2.58e-06,2.06e-07,1.85e-06,4.17e-07,1.44e-05,7.11e-06,5.69e-05,,,,,,,,,,,,,,,,,
519.72,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
520,4.21e-06,1.31e-05,3.03e-05,0.00024,,,,0.00121,0.00024,8.69e-05,,0.000884,1.46e-06,7.59e-07,1.84e-06,1.91e-07,2.64e-05,1e-15,1.21e-05,,,,,,,,,,,,,,,,,
520.27,,,,,,,,,,,0.01997,,,,,,,,,,,,,,,,,,,,,,,,,
520.87,,,,,,,,,,,0.04432,,,,,,,,,,,,,,,,,,,,,,,,,
521.48,,,,,,,,,,,0.08635,,,,,,,,,,,,,,,,,,,,,,,,,
522.08,,,,,,,,,,,0.14632,,,,,,,,,,,,,,,,,,,,,,,,,
522.68,,,,,,,,,,,0.22156,,,,,,,,,,,,,,,,,,,,,,,,,
523.28,,,,,,,,,,,0.3126,,,,,,,,,,,,,,,,,,,,,,,,,
523.86,,,,,,,,,,,0.4167,,,,,,,,,,,,,,,,,,,,,,,,,
524.46,,,,,,,,,,,0.54277,,,,,,,,,,,,,,,,,,,,,,,,,
525.06,,,,,,,,,,,0.67936,,,,,,,,,,,,,,,,,,,,,,,,,
525.66,,,,,,,,,,,0.81135,,,,,,,,,,,,,,,,,,,,,,,,,
526.27,,,,,,,,,,,0.91833,,,,,,,,,,,,,,,,,,,,,,,,,
526.87,,,,,,,,,,,0.97936,,,,,,,,,,,,,,,,,,,,,,,,,
527.48,,,,,,,,,,,0.99328,,,,,,,,,,,,,,,,,,,,,,,,,
528.07,,,,,,,,,,,0.98528,,,,,,,,,,,,,,,,,,,,,,,,,
528.68,,,,,,,,,,,0.98077,,,,,,,,,,,,,,,,,,,,,,,,,
529.27,,,,,,,,,,,0.98657,,,,,,,,,,,,,,,,,,,,,,,,,
529.86,,,,,,,,,,,0.99431,,,,,,,,,,,,,,,,,,,,,,,,,
