wavelength,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36
350,0.000261041,0.000297943,0.000318725,0.000404561,,,,0.000133695,0.000132201,5.72652e-05,2.76275e-05,4.43604e-05,6.11526e-05,7.10921e-05,3.60824e-05,6.04905e-05,0.000536466,0.000144105,0.000551191,,,,,,,,,,,,,,,,,
360,0.000221131,0.000283684,0.000164353,0.000243581,,,,6.52138e-05,5.47299e-05,2.1965e-05,2.13379e-05,1.84637e-05,8.0064e-05,5.46953e-05,3.2357e-05,3.99607e-05,0.00025808,0.000156169,0.000433501,,,,,,,,,,,,,,,,,
370,0.000150339,0.000304559,0.000175597,0.000123366,,,,3.29767e-05,2.65853e-05,1.96595e-05,2.28732e-05,1.2404e-05,3.47345e-05,1.62694e-05,1.08229e-05,2.27949e-05,0.000187908,7.02798e-05,0.000297311,,,,,,,,,,,,,,,,,
380,9.22961e-05,0.000183719,0.000119499,0.000124056,,,,4.65258e-05,4.10652e-05,1.97818e-05,1.82181e-05,1.08575e-05,4.508e-05,2.37057e-05,8.3964e-06,3.66159e-05,0.000147776,0.000135192,0.000205335,,,,,,,,,,,,,,,,,
390,6.93872e-05,0.00013888,0.00018155,0.000103609,,,,0.000473154,2.97138e-05,1.24324e-05,1.18523e-05,1.95334e-05,7.66346e-06,2.0247e-05,1.02461e-05,1.16862e-05,8.90606e-05,7.61387e-05,0.000100111,,,,,,,,,,,,,,,,,
390.17,,,,,,,,0.000421982,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391.17,,,,,,,,0.000328861,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393.17,,,,,,,,0.0004742,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394.17,,,,,,,,0.000587672,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395.17,,,,,,,,0.000861257,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397.19,,,,,,,,0.00181258,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398.179,,,,,,,,0.00337911,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399.17,,,,,,,,0.00725756,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,0.000103704,0.000165196,0.0013973,9.95762e-05,,,,,6.5879e-05,0.000144142,1.15995e-05,0.000127405,1.4968e-05,1.55861e-05,7.18154e-06,1.77121e-05,0.000144975,5.49441e-05,0.000139751,,,,,,,,,,,,,,,,,
400.19,,,,,,,,0.0161996,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402.179,,,,,,,,0.0731352,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403.17,,,,,,,,0.243525,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404.179,,,,,,,,0.495634,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406.17,,,,,,,,0.726977,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407.17,,,,,,,,0.679636,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408.19,,,,,,,,0.68286,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,8.54492e-05,9.25343e-05,0.000122377,7.758e-05,,,,,0.000169955,0.00153631,8.36497e-06,4.94296e-05,1.15004e-05,1.24594e-05,6.23837e-06,2.51831e-05,7.99208e-05,7.51884e-05,0.000139881,,,,,,,,,,,,,,,,,
410.179,,,,,,,,0.805588,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411.179,,,,,,,,0.746249,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412.17,,,,,,,,0.531392,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413.19,,,,,,,,0.441311,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415.17,,,,,,,,0.932612,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416.179,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417.17,,,,,,,,0.905185,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419.17,,,,,,,,0.439771,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,3.77924e-05,7.10702e-05,0.00042239,6.56866e-05,,,,,0.000616739,0.00375005,1.30316e-05,7.17735e-05,1.25647e-05,1.37167e-05,4.59711e-06,1.61998e-05,0.000103472,4.39977e-05,0.000128225,,,,,,,,,,,,,,,,,
420.179,,,,,,,,0.210328,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421.16,,,,,,,,0.0856633,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423.179,,,,,,,,0.0107264,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424.16,,,,,,,,0.00479769,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425.17,,,,,,,,0.00235889,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426.19,,,,,,,,0.00103616,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428.16,,,,,,,,,0.000315933,,,,,,,,,,,,,,,,,,,,,,,,,,,
428.17,,,,,,,,0.000229683,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429.179,,,,,,,,0.000225379,0.000452368,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,3.01901e-05,9.72333e-05,0.000799102,0.00010804,,,,,,0.00109174,6.5572e-06,8.34513e-05,1.13223e-05,8.29184e-06,3.16785e-06,6.69113e-06,7.35278e-05,3.8561e-05,0.00011747,,,,,,,,,,,,,,,,,
430.17,,,,,,,,0.000100319,0.000744534,,,,,,,,,,,,,,,,,,,,,,,,,,,
431.179,,,,,,,,,0.00135374,,,,,,,,,,,,,,,,,,,,,,,,,,,
432.16,,,,,,,,0.000110245,0.00351132,,,,,,,,,,,,,,,,,,,,,,,,,,,
433.16,,,,,,,,,0.0134802,,,,,,,,,,,,,,,,,,,,,,,,,,,
433.17,,,,,,,,0.000104285,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434.16,,,,,,,,,0.0481175,,,,,,,,,,,,,,,,,,,,,,,,,,,
435.179,,,,,,,,,0.136758,,,,,,,,,,,,,,,,,,,,,,,,,,,
436.16,,,,,,,,,0.293207,,,,,,,,,,,,,,,,,,,,,,,,,,,
436.17,,,,,,,,8.82973e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437.17,,,,,,,,,0.482024,,,,,,,,,,,,,,,,,,,,,,,,,,,
438.16,,,,,,,,,0.628519,,,,,,,,,,,,,,,,,,,,,,,,,,,
439.179,,,,,,,,,0.810956,,,,,,,,,,,,,,,,,,,,,,,,,,,
439.2,,,0.000288076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,3.04183e-05,8.18349e-05,,6.02615e-05,,,,0.000136903,,0.000671996,4.78042e-05,4.00204e-05,1.06906e-05,1.16577e-05,2.58815e-06,7.07483e-06,3.59061e-05,4.77929e-05,7.67661e-05,,,,,,,,,,,,,,,,,
440.17,,,,,,,,,0.963823,,,,,,,,,,,,,,,,,,,,,,,,,,,
440.19,,,0.00022991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441.179,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
441.2,,,0.000294636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.16,,,,,,,,,0.997915,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.179,,,0.000318929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.17,,,,,,,,,0.993775,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.19,,,0.000381074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
