wavelength,Oa01,Oa02,Oa03,Oa04,Oa05,Oa06,Oa07,Oa08,Oa09,Oa10,Oa11,Oa12,Oa13,Oa14,Oa15,Oa16,Oa17,Oa18,Oa19,Oa20,Oa21
387.8491516,2.489202941e-11,,,,,,,,,,,,,,,,,,,,
387.9671936,6.874398967e-11,,,,,,,,,,,,,,,,,,,,
388.0854492,1.857946436e-10,,,,,,,,,,,,,,,,,,,,
388.2038574,4.914368357e-10,,,,,,,,,,,,,,,,,,,,
388.321991,1.272185357e-09,,,,,,,,,,,,,,,,,,,,
388.4401245,3.223206591e-09,,,,,,,,,,,,,,,,,,,,
388.558197,7.992516871e-09,,,,,,,,,,,,,,,,,,,,
388.6762695,1.939693917e-08,,,,,,,,,,,,,,,,,,,,
388.7944641,4.607154125e-08,,,,,,,,,,,,,,,,,,,,
388.9123535,1.07094472e-07,,,,,,,,,,,,,,,,,,,,
389.0300293,2.436226794e-07,,,,,,,,,,,,,,,,,,,,
389.1481323,5.423272e-07,,,,,,,,,,,,,,,,,,,,
389.2663269,1.181314474e-06,,,,,,,,,,,,,,,,,,,,
389.3842773,2.517643452e-06,,,,,,,,,,,,,,,,,,,,
389.5024414,5.249327387e-06,,,,,,,,,,,,,,,,,,,,
389.6208496,1.070637973e-05,,,,,,,,,,,,,,,,,,,,
389.7393799,2.135775503e-05,,,,,,,,,,,,,,,,,,,,
389.8579712,4.166575309e-05,,,,,,,,,,,,,,,,,,,,
389.9759216,7.947706763e-05,,,,,,,,,,,,,,,,,,,,
390.0941162,0.0001482189691,,,,,,,,,,,,,,,,,,,,
390.2124023,0.0002702842175,,,,,,,,,,,,,,,,,,,,
390.3306274,0.0004821968614,,,,,,,,,,,,,,,,,,,,
390.4486694,0.0008419500664,,,,,,,,,,,,,,,,,,,,
390.5667419,0.0014393233,,,,,,,,,,,,,,,,,,,,
390.6849976,0.002408420667,,,,,,,,,,,,,,,,,,,,
390.8032837,0.003940049559,,,,,,,,,,,,,,,,,,,,
390.9214478,0.006297616288,,,,,,,,,,,,,,,,,,,,
391.0393677,0.009829284623,,,,,,,,,,,,,,,,,,,,
391.1572876,0.0149740139,,,,,,,,,,,,,,,,,,,,
391.275238,0.02226101793,,,,,,,,,,,,,,,,,,,,
391.3933105,0.03229994699,,,,,,,,,,,,,,,,,,,,
391.5113525,0.04568392411,,,,,,,,,,,,,,,,,,,,
391.6295166,0.06295651197,,,,,,,,,,,,,,,,,,,,
391.7477112,0.08452243358,,,,,,,,,,,,,,,,,,,,
391.8661499,0.1105427146,,,,,,,,,,,,,,,,,,,,
391.9847717,0.1408437192,,,,,,,,,,,,,,,,,,,,
392.1029053,0.1748568118,,,,,,,,,,,,,,,,,,,,
392.2210083,0.2116127163,,,,,,,,,,,,,,,,,,,,
392.3390503,0.2498088628,,,,,,,,,,,,,,,,,,,,
392.4572449,0.2879342139,,,,,,,,,,,,,,,,,,,,
392.5752563,0.3244426548,,,,,,,,,,,,,,,,,,,,
392.6933899,0.3579838574,,,,,,,,,,,,,,,,,,,,
392.8116455,0.3875853419,,,,,,,,,,,,,,,,,,,,
392.9300537,0.4127855599,,,,,,,,,,,,,,,,,,,,
393.0483398,0.4336616397,,,,,,,,,,,,,,,,,,,,
393.1664429,0.4507597685,,,,,,,,,,,,,,,,,,,,
393.2843628,0.4649279416,,,,,,,,,,,,,,,,,,,,
393.4024658,0.4771026671,,,,,,,,,,,,,,,,,,,,
393.5205383,0.4880509973,,,,,,,,,,,,,,,,,,,,
393.6385498,0.4982644916,,,,,,,,,,,,,,,,,,,,
393.7567444,0.5079115629,,,,,,,,,,,,,,,,,,,,
393.875061,0.516905427,,,,,,,,,,,,,,,,,,,,
393.9934082,0.525041461,,,,,,,,,,,,,,,,,,,,
394.1117859,0.5321701765,,,,,,,,,,,,,,,,,,,,
394.2295837,0.5383346677,,,,,,,,,,,,,,,,,,,,
394.3477783,0.5438270569,,,,,,,,,,,,,,,,,,,,
394.4657898,0.549105823,,,,,,,,,,,,,,,,,,,,
394.5837402,0.5546591878,,,,,,,,,,,,,,,,,,,,
394.7019043,0.5608803034,,,,,,,,,,,,,,,,,,,,
394.8201904,0.5679154396,,,,,,,,,,,,,,,,,,,,
394.9385071,0.5756248236,,,,,,,,,,,,,,,,,,,,
395.0567932,0.5836240649,,,,,,,,,,,,,,,,,,,,
395.1751709,0.5914304852,,,,,,,,,,,,,,,,,,,,
395.2930603,0.5986379981,,,,,,,,,,,,,,,,,,,,
395.4113464,0.6050752997,,,,,,,,,,,,,,,,,,,,
395.5295715,0.6108260751,,,,,,,,,,,,,,,,,,,,
395.6475525,0.6162466407,,,,,,,,,,,,,,,,,,,,
395.7657471,0.6218292713,,,,,,,,,,,,,,,,,,,,
395.8839417,0.6280308366,,,,,,,,,,,,,,,,,,,,
396.0022888,0.6351003647,,,,,,,,,,,,,,,,,,,,
396.1206665,0.6429896951,,,,,,,,,,,,,,,,,,,,
396.2390137,0.6513762474,,,,,,,,,,,,,,,,,,,,
396.3565979,0.6597809792,,,,,,,,,,,,,,,,,,,,
396.4743958,0.6677106619,,,,,,,,,,,,,,,,,,,,
396.5924377,0.6748377085,,,,,,,,,,,,,,,,,,,,
396.7104797,0.6811410785,,,,,,,,,,,,,,,,,,,,
396.8286133,0.68690449,,,,,,,,,,,,,,,,,,,,
396.9468994,0.692622602,,,,,,,,,,,,,,,,,,,,
397.0652466,0.6988193989,,,,,,,,,,,,,,,,,,,,
397.1836243,0.7058725953,,,,,,,,,,,,,,,,,,,,
397.3019714,0.713874042,,,,,,,,,,,,,,,,,,,,
397.4198303,0.7226088047,,,,,,,,,,,,,,,,,,,,
397.5380554,0.7315751314,,,,,,,,,,,,,,,,,,,,
397.6563721,0.7402108908,,,,,,,,,,,,,,,,,,,,
397.7745972,0.748075068,,,,,,,,,,,,,,,,,,,,
397.8929749,0.7550114989,,,,,,,,,,,,,,,,,,,,
398.0111694,0.7612025142,,,,,,,,,,,,,,,,,,,,
398.1295166,0.7671125531,,,,,,,,,,,,,,,,,,,,
398.2478638,0.7733247876,,,,,,,,,,,,,,,,,,,,
398.3659363,0.7803580165,,,,,,,,,,,,,,,,,,,,
398.4835815,0.788434267,,,,,,,,,,,,,,,,,,,,
398.6014099,0.7974132299,,,,,,,,,,,,,,,,,,,,
398.7192688,0.8068540096,,,,,,,,,,,,,,,,,,,,
398.8372192,0.8161548972,,,,,,,,,,,,,,,,,,,,
398.9552917,0.8247689605,,,,,,,,,,,,,,,,,,,,
399.0736084,0.8323889971,,,,,,,,,,,,,,,,,,,,
399.1919556,0.8390572667,,,,,,,,,,,,,,,,,,,,
399.3103027,0.8451717496,,,,,,,,,,,,,,,,,,,,
399.4287415,0.851290524,,,,,,,,,,,,,,,,,,,,
399.5466614,0.8579764962,,,,,,,,,,,,,,,,,,,,
399.6646729,0.865582943,,,,,,,,,,,,,,,,,,,,
399.7830811,0.8741198778,,,,,,,,,,,,,,,,,,,,
399.9015503,0.8832220435,,,,,,,,,,,,,,,,,,,,
400.0199585,0.8923082352,,,,,,,,,,,,,,,,,,,,
400.1383362,0.9006630182,,,,,,,,,,,,,,,,,,,,
400.2566833,0.9077937603,,,,,,,,,,,,,,,,,,,,
400.3748169,0.9132168889,,,,,,,,,,,,,,,,,,,,
