wavelength,B1,B2,B3,B4,B5,B6,B7,B8,B9
427,0.00036798,,,,,,,,
428,0.00072189,,,,,,,,
429,0.00205797,,,,,,,,
430,0.00360595,,,,,,,,
431,0.00877048,,,,,,,,
432,0.0222446,,,,,,,,
433,0.07982337,,,,,,,,
434,0.23420422,,,,,,,,
435,0.49647373,,,,,,,,
436,0.76542354,6.41e-05,,,,,,,
437,0.9375785,8.79e-05,,,,,,,
438,0.9763267,0.00012288,,,,,,,
439,0.98641855,0.00017756,,,,,,,
440,0.9947381,0.00026465,,,,,,,
441,0.98839664,0.00040609,,,,,,,
442,0.97089148,0.00064757,,,,,,,
443,0.96740282,0.0010627,,,,,,,
444,0.97595501,0.00180834,,,,,,,
445,0.98273933,0.00423224,,,,,,,
446,0.98891443,0.00733809,,,,,,,
447,1.0,0.0132065,,,,,,,
448,0.98661834,0.02738087,,,,,,,
449,0.87390488,0.06140049,,,,,,,
450,0.64063799,0.12810045,,,,,,,
451,0.33599678,0.28426054,,,,,,,
452,0.13211244,0.52622634,,,,,,,
453,0.04911467,0.75461823,,,,,,,
454,0.01938601,0.85015893,,,,,,,
455,0.00847867,0.87050748,,,,,,,
456,0.00360224,0.87301528,,,,,,,
457,0.00169454,0.87386012,,,,,,,
458,0.00077237,0.87411314,,,,,,,
459,0.00036698,0.87535989,,,,,,,
460,,0.87936622,,,,,,,
461,,0.88182181,,,,,,,
462,,0.88110375,,,,,,,
463,,0.88239449,,,,,,,
464,,0.88807994,,,,,,,
465,,0.89365971,,,,,,,
466,,0.89804703,,,,,,,
467,,0.90057266,,,,,,,
468,,0.89131784,,,,,,,
469,,0.86657351,,,,,,,
470,,0.8358435,,,,,,,
471,,0.81551754,,,,,,,
472,,0.8177281,,,,,,,
473,,0.83361632,,,,,,,
474,,0.85324347,,,,,,,
475,,0.86751264,,,,,,,
476,,0.87968469,,,,,,,
477,,0.8864091,,,,,,,
478,,0.89245307,,,,,,,
479,,0.90207016,,,,,,,
480,,0.91684681,,,,,,,
481,,0.93018711,,,,,,,
482,,0.93724215,,,,,,,
483,,0.94008964,,,,,,,
484,,0.94266725,,,,,,,
485,,0.94259858,,,,,,,
486,,0.94212455,,,,,,,
487,,0.94310826,,,,,,,
488,,0.94514865,,,,,,0.00055981,
489,,0.94699287,,,,,,0.00071401,
