wavelength,B10,B11
9800,0.0001,
9850,0.0001,
9900,0.0001,
9950,0.0001,
10000,0.0002,
10050,0.0005,
10100,0.0014,
10150,0.0038,
10200,0.009,
10250,0.0224,
10300,0.061,
10350,0.1571,
10400,0.3183,
10450,0.4923,
10500,0.632,
10550,0.7223,
10600,0.7844,
10650,0.8207,
10700,0.837,
10750,0.8476,
10800,0.859,
10850,0.882,
10900,0.9189,
10950,0.9583,
11000,0.996,0.0001
11050,1.0,0.0002
11100,0.9289,0.0003
11150,0.7501,0.0006
11200,0.4954,0.0014
11250,0.2698,0.0039
11300,0.1282,0.0126
11350,0.0589,0.0345
11400,0.0266,0.0812
11450,0.0126,0.1575
11500,0.0063,0.2575
11550,0.0033,0.4045
11600,0.0016,0.577
11650,0.0008,0.7308
11700,0.0004,0.8392
11750,0.0002,0.8941
11800,0.0001,0.9228
11850,,0.9575
11900,,0.9811
11950,,0.9976
12000,,1.0
12050,,0.9806
12100,,0.9545
12150,,0.9124
12200,,0.8495
12250,,0.8002
12300,,0.7579
12350,,0.7343
12400,,0.7127
12450,,0.6353
12500,,0.4878
12550,,0.3086
12600,,0.1746
12650,,0.0939
12700,,0.0475
12750,,0.0256
12800,,0.0147
12850,,0.0072
12900,,0.0027
12950,,0.001
13000,,0.0004
