wavelength,B1,B2,B3,B4,B5,B6,B7
410,0.0,0.0,0.0,0.0,0.0,0.0,0.0
411,0.0,0.0,0.0,0.0,0.0,0.0,0.0
412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
413,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414,0.0,0.0,0.0,0.0,0.0,0.0,0.0
415,0.0,0.0,0.0,0.0,0.0,0.0,0.0
416,0.0,0.0,0.0,0.0,0.0,0.0,0.0
417,0.0,0.0,0.0,0.0,0.0,0.0,0.0
418,0.0,0.0,0.0,0.0,0.0,0.0,0.0
419,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420,0.0007,0.0,0.0,0.0,0.0,0.0,0.0
421,0.0008,0.0,0.0,0.0,0.0,0.0,0.0
422,0.0008,0.0,0.0,0.0,0.0,0.0,0.0
423,0.0009,0.0,0.0,0.0,0.0,0.0,0.0
424,0.0009,0.0,0.0,0.0,0.0,0.0,0.0
425,0.001,0.0,0.0,0.0,0.0,0.0,0.0
426,0.0013,0.0,0.0,0.0,0.0,0.0,0.0
427,0.0016,0.0,0.0,0.0,0.0,0.0,0.0
428,0.002,0.0,0.0,0.0,0.0,0.0,0.0
429,0.0023,0.0,0.0,0.0,0.0,0.0,0.0
430,0.0027,0.0,0.0,0.0,0.0,0.0,0.0
431,0.0042,0.0,0.0,0.0,0.0,0.0,0.0
432,0.006,0.0,0.0,0.0,0.0,0.0,0.0
433,0.0086,0.0,0.0,0.0,0.0,0.0,0.0
434,0.0113,0.0,0.0,0.0,0.0,0.0,0.0
435,0.0141,0.0,0.0,0.0,0.0,0.0,0.0
436,0.017,0.0,0.0,0.0,0.0,0.0,0.0
437,0.0216,0.0,0.0,0.0,0.0,0.0,0.0
438,0.0268,0.0,0.0,0.0,0.0,0.0,0.0
439,0.0321,0.0,0.0,0.0,0.0,0.0,0.0
440,0.037,0.0,0.0,0.0,0.0,0.0,0.0
441,0.042,0.0,0.0,0.0,0.0,0.0,0.0
442,0.0471,0.0,0.0,0.0,0.0,0.0,0.0
443,0.0524,0.0,0.0,0.0,0.0,0.0,0.0
444,0.0577,0.0,0.0,0.0,0.0,0.0,0.0
445,0.0633,0.0,0.0,0.0,0.0,0.0,0.0
